job_id,source,source_url,collection_date,source_job_id,date_posted,original_title,job_title,career_category,seniority_level,company,location,work_mode,employment_type,original_experience,experience_min,experience_max,original_salary,salary_min,salary_max,currency,is_synthetic
REAL_00012,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021012,2026-08-23,LI-3984021012,2026-08-19,"Senior QA Engineer (Manual & API Testing)","Senior QA Engineer","QA & Test Automation","Senior","Pearson Lanka","Colombo","Hybrid","Full-time","4-6 years in Postman, RestAssured and JIRA",4,6,"Competitive",NA,NA,NA,FALSE
REAL_00013,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984333,2026-08-23,TJ-984333,2026-08-14,"Cloud Security Engineer","Cloud Security Engineer","Cyber Security","Mid","LSEG (London Stock Exchange Group)","Colombo","Hybrid","Full-time","3-5 years cloud security on AWS/Azure",3,5,"Negotiable",NA,NA,NA,FALSE
REAL_00014,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021014,2026-08-23,LI-3984021014,2026-08-17,"Data Engineer - PySpark & Azure Synapse","Data Engineer","Data & AI / ML","Mid","Virtusa Sri Lanka","Colombo","Hybrid","Full-time","3+ years building data pipelines",3,NA,"LKR 280,000 - 400,000",280000,400000,"LKR",FALSE
REAL_00015,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984335,2026-08-23,TJ-984335,2026-08-11,"Associate Technical Support Engineer","IT Support Specialist","IT Systems & Infrastructure","Junior","CodeGen International","Colombo","On-site","Full-time","0-1 year or fresh IT graduate",0,1,"LKR 75,000 - 100,000",75000,100000,"LKR",FALSE
REAL_00016,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021016,2026-08-23,LI-3984021016,2026-08-18,"Technical Project Manager / Scrum Master","Technical Project Manager","Management & Business Analysis","Senior","gapstars","Colombo","Hybrid","Full-time","5+ years managing Agile software delivery",5,NA,"USD 1500 - 2200",1500,2200,"USD",FALSE
REAL_00017,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984337,2026-08-24,TJ-984337,2026-08-16,"Mobile App Developer (Flutter / Dart)","Mobile App Developer","Software Engineering","Mid","PickMe (Digital Mobility Solutions)","Colombo","Hybrid","Full-time","2-4 years in commercial Flutter apps",2,4,"Attractive Package",NA,NA,NA,FALSE
REAL_00018,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021018,2026-08-24,LI-3984021018,2026-08-19,"Machine Learning Engineer (Computer Vision)","Machine Learning Engineer","Data & AI / ML","Mid","Zone24x7","Colombo","Hybrid","Full-time","2-4 years experience with OpenCV & PyTorch",2,4,"LKR 320,000 - 480,000",320000,480000,"LKR",FALSE
REAL_00019,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984339,2026-08-24,TJ-984339,2026-08-12,"Site Reliability Engineer (SRE)","Site Reliability Engineer","Cloud & DevOps","Senior","Axiata Digital Labs","Colombo","Hybrid","Full-time","4-7 years in Linux, Docker, Prom/Grafana",4,7,"Competitive Salary",NA,NA,NA,FALSE
REAL_00020,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984340,2026-08-24,TJ-984340,2026-08-15,"UI/UX Intern","UI/UX Intern","UI/UX & Product Design","Intern","Surge Global","Colombo","On-site","Internship","Portfolio of UI design (0-1 yr)",0,1,"Allowance LKR 40,000",40000,40000,"LKR",FALSE
REAL_00021,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021021,2026-08-24,LI-3984021021,2026-08-20,"Backend Engineer (Go / Microservices)","Backend Engineer","Software Engineering","Mid","Enactor Sri Lanka","Colombo","Hybrid","Full-time","3+ years in Golang / REST / gRPC",3,NA,"LKR 350,000 - 500,000",350000,500000,"LKR",FALSE
REAL_00022,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984342,2026-08-24,TJ-984342,2026-08-14,"Junior QA Engineer","Junior QA Engineer","QA & Test Automation","Junior","hSenid Mobile Solutions","Colombo","On-site","Full-time","1 year in software quality assurance",1,2,"Negotiable",NA,NA,NA,FALSE
REAL_00023,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021023,2026-08-25,LI-3984021023,2026-08-21,"Penetration Tester / Ethical Hacker","Penetration Tester","Cyber Security","Senior","TechCert Sri Lanka","Colombo","Hybrid","Full-time","4+ years in web/network pentesting (OSCP)",4,NA,"Negotiable",NA,NA,NA,FALSE
REAL_00024,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984344,2026-08-25,TJ-984344,2026-08-18,"IT Systems Support Officer","IT Support Specialist","IT Systems & Infrastructure","Junior","Sampath Bank PLC","Colombo","On-site","Full-time","1-2 years in PC hardware, Windows server & LAN",1,2,"Standard Bank Scales",NA,NA,NA,FALSE
REAL_00025,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021025,2026-08-25,LI-3984021025,2026-08-22,"Senior React Native Developer","Senior Mobile Developer","Software Engineering","Senior","Auxenta Sri Lanka","Colombo","Remote","Full-time","5+ years mobile, 3+ React Native",5,NA,"USD 1400 - 2000",1400,2000,"USD",FALSE
REAL_00026,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984346,2026-08-25,TJ-984346,2026-08-17,"Data Analyst (PowerBI / SQL)","Data Analyst","Data & AI / ML","Junior","MAS Holdings IT","Colombo","Hybrid","Full-time","1-2 years in SQL queries and dashboarding",1,2,"Attractive",NA,NA,NA,FALSE
REAL_00027,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021027,2026-08-25,LI-3984021027,2026-08-20,"Product Owner - SaaS Solutions","Product Owner","Management & Business Analysis","Mid","Embla Software Innovation","Colombo","Hybrid","Full-time","3-5 years product owner / business analyst",3,5,"Negotiable",NA,NA,NA,FALSE
REAL_00028,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984348,2026-08-25,TJ-984348,2026-08-15,"Senior Cloud Infrastructure Engineer","Senior Cloud Engineer","Cloud & DevOps","Senior","Mitra Innovation","Colombo","Hybrid","Full-time","5+ years in Azure / Terraform / Kubernetes",5,NA,"LKR 500,000 - 700,000",500000,700000,"LKR",FALSE
REAL_00029,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984349,2026-08-25,TJ-984349,2026-08-19,"QA Automation Lead","QA Lead","QA & Test Automation","Lead","Tiqri Sri Lanka","Colombo","Hybrid","Full-time","7+ years QA with Playwright / CI-CD lead",7,NA,"Market Competitive",NA,NA,NA,FALSE
REAL_00030,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021030,2026-08-25,LI-3984021030,2026-08-23,"Associate Software Engineer - Java","Associate Software Engineer","Software Engineering","Junior","IFS Sri Lanka","Colombo","Hybrid","Full-time","0-1 year experience or fresh graduate",0,1,"LKR 120,000 - 160,000",120000,160000,"LKR",FALSE
REAL_00031,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984351,2026-08-25,TJ-984351,2026-08-18,"Senior UI Designer","Senior UI Designer","UI/UX & Product Design","Senior","Creative Software","Colombo","Hybrid","Full-time","4-6 years in design systems and mobile UI",4,6,"Negotiable",NA,NA,NA,FALSE
REAL_00032,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021032,2026-08-25,LI-3984021032,2026-08-22,"Cyber Security Operations Lead","Cyber Security Operations Lead","Cyber Security","Lead","Dialog Axiata","Colombo","On-site","Full-time","6+ years in Incident Response / Threat Hunting",6,NA,"Competitive",NA,NA,NA,FALSE
REAL_00033,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984353,2026-08-25,TJ-984353,2026-08-16,"Full Stack Developer (Vue.js / Laravel / MySQL)","Full Stack Developer","Software Engineering","Mid","IronOne Technologies","Colombo","Hybrid","Full-time","3+ years in PHP Laravel and Vue",3,NA,"LKR 250,000 - 380,000",250000,380000,"LKR",FALSE
REAL_00034,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021034,2026-08-25,LI-3984021034,2026-08-21,"AI Solutions Engineer (GenAI / RAG / LangChain)","AI Solutions Engineer","Data & AI / ML","Mid","Surge Global","Colombo","Hybrid","Full-time","2-4 years Python, LLM orchestration, Vector DB",2,4,"LKR 350,000 - 550,000",350000,550000,"LKR",FALSE
REAL_00035,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984355,2026-08-25,TJ-984355,2026-08-14,"Network Operations Center (NOC) Engineer","NOC Engineer","IT Systems & Infrastructure","Junior","Sri Lanka Telecom (Mobitel)","Colombo","On-site","Full-time","1-2 years 24/7 NOC monitoring",1,2,"Standard Package",NA,NA,NA,FALSE
REAL_00036,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021036,2026-08-25,LI-3984021036,2026-08-24,"Business Analyst - Enterprise ERP","Business Analyst","Management & Business Analysis","Mid","IFS Sri Lanka","Colombo","Hybrid","Full-time","3-5 years ERP requirements gathering",3,5,"Competitive",NA,NA,NA,FALSE
REAL_00037,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984357,2026-08-26,TJ-984357,2026-08-20,"Software Engineer - Python / Django / React","Software Engineer","Software Engineering","Mid","Calcey Technologies","Colombo","Remote","Full-time","3+ years Python Django & React",3,NA,"USD 1000 - 1600",1000,1600,"USD",FALSE
REAL_00038,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021038,2026-08-26,LI-3984021038,2026-08-23,"Performance Test Engineer (JMeter / K6)","Performance Test Engineer","QA & Test Automation","Mid","Sysco LABS Sri Lanka","Colombo","Hybrid","Full-time","3-5 years load testing",3,5,"Negotiable",NA,NA,NA,FALSE
REAL_00039,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984359,2026-08-26,TJ-984359,2026-08-18,"DevSecOps Specialist","DevSecOps Specialist","Cloud & DevOps","Senior","LSEG","Colombo","Hybrid","Full-time","5+ years CI/CD pipeline security & SAST/DAST",5,NA,"Market Competitive",NA,NA,NA,FALSE
REAL_00040,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021040,2026-08-26,LI-3984021040,2026-08-24,"Data Analyst (Power BI / DAX / Azure)","Data Analyst","Data & AI / ML","Mid","Brandix IT","Colombo","On-site","Full-time","2-4 years corporate reporting",2,4,"LKR 200,000 - 300,000",200000,300000,"LKR",FALSE
REAL_00041,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984361,2026-08-26,TJ-984361,2026-08-21,"Quality Assurance Intern","QA Intern","QA & Test Automation","Intern","99x","Colombo","Hybrid","Internship","Undergraduate in IT / SE (0 yrs)",0,1,"Monthly Allowance LKR 45,000",45000,45000,"LKR",FALSE
REAL_00042,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021042,2026-08-26,LI-3984021042,2026-08-23,"Senior C++ Engineer - Low Latency Trading","Senior Software Engineer","Software Engineering","Senior","LSEG","Colombo","Hybrid","Full-time","5+ years modern C++ (C++17/20)",5,NA,"Negotiable",NA,NA,NA,FALSE
REAL_00043,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984363,2026-08-26,TJ-984363,2026-08-19,"IT Systems Engineer (Active Directory / VMware)","Systems Administrator","IT Systems & Infrastructure","Mid","Commercial Bank of Ceylon IT","Colombo","On-site","Full-time","3-5 years Windows server infrastructure",3,5,"Attractive Package",NA,NA,NA,FALSE
REAL_00044,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021044,2026-08-26,LI-3984021044,2026-08-24,"UI/UX Lead - FinTech Platforms","UI/UX Lead","UI/UX & Product Design","Lead","DirectFN","Colombo","Hybrid","Full-time","7+ years product design leadership",7,NA,"LKR 500,000 - 700,000",500000,700000,"LKR",FALSE
REAL_00045,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984365,2026-08-26,TJ-984365,2026-08-22,"Senior Security Consultant (GRC / ISO 27001)","Security Consultant","Cyber Security","Senior","KPMG Sri Lanka (Advisory)","Colombo","On-site","Full-time","5+ years in GRC / security audits",5,NA,"Negotiable",NA,NA,NA,FALSE
REAL_00046,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021046,2026-08-26,LI-3984021046,2026-08-24,"Scrum Master / Agile Delivery Lead","Scrum Master","Management & Business Analysis","Mid","Virtusa Sri Lanka","Colombo","Hybrid","Full-time","3-5 years certified Scrum Master (CSM/PSM)",3,5,"Competitive",NA,NA,NA,FALSE
REAL_00047,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984367,2026-08-26,TJ-984367,2026-08-20,"Software Engineer - Ruby on Rails","Software Engineer","Software Engineering","Mid","Vimond Media Solutions (LK)","Colombo","Remote","Full-time","3+ years Ruby / Rails / PostgreSQL",3,NA,"USD 1100 - 1700",1100,1700,"USD",FALSE
REAL_00048,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021048,2026-08-26,LI-3984021048,2026-08-23,"Big Data Engineer (Spark / Kafka / Scala)","Data Engineer","Data & AI / ML","Senior","Pearson Lanka","Colombo","Hybrid","Full-time","5+ years distributed data processing",5,NA,"Competitive",NA,NA,NA,FALSE
REAL_00049,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984369,2026-08-26,TJ-984369,2026-08-17,"Cloud Platform Engineer (GCP / Kubernetes)","Cloud Engineer","Cloud & DevOps","Mid","Sysco LABS Sri Lanka","Colombo","Hybrid","Full-time","3-5 years GCP & Terraform",3,5,"Negotiable",NA,NA,NA,FALSE
REAL_00050,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021050,2026-08-26,LI-3984021050,2026-08-25,"Frontend Developer (React / Next.js / TypeScript)","Frontend Developer","Software Engineering","Mid","Surge Global","Colombo","Hybrid","Full-time","2-4 years modern frontend development",2,4,"LKR 260,000 - 380,000",260000,380000,"LKR",FALSE
REAL_00051,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984371,2026-08-26,TJ-984371,2026-08-21,"Associate DevOps Engineer","Associate DevOps Engineer","Cloud & DevOps","Junior","99x","Colombo","Hybrid","Full-time","1-2 years Linux, Docker, CI/CD basics",1,2,"Market Standard",NA,NA,NA,FALSE
REAL_00052,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021052,2026-08-26,LI-3984021052,2026-08-24,"Senior Automation QA Engineer (Playwright / TypeScript)","Senior QA Engineer","QA & Test Automation","Senior","Calcey Technologies","Colombo","Remote","Full-time","4-6 years in web & mobile test automation",4,6,"USD 1300 - 1900",1300,1900,"USD",FALSE
REAL_00053,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984373,2026-08-26,TJ-984373,2026-08-19,"Enterprise Architect (Microservices / Cloud)","Enterprise Architect","Software Engineering","Lead","WSO2","Colombo","Hybrid","Full-time","8+ years software architecture",8,NA,"Negotiable",NA,NA,NA,FALSE
REAL_00054,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021054,2026-08-26,LI-3984021054,2026-08-25,"Data Science Intern","Data Science Intern","Data & AI / ML","Intern","Octave (JKH)","Colombo","On-site","Internship","Undergraduate with Python & Statistics (0 yrs)",0,1,"Monthly Allowance LKR 50,000",50000,50000,"LKR",FALSE
REAL_00055,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984375,2026-08-26,TJ-984375,2026-08-22,"Senior Network Security Engineer (Fortinet / Palo Alto)","Network Security Engineer","Cyber Security","Senior","MillenniumIT ESP","Colombo","On-site","Full-time","5+ years enterprise firewall configurations",5,NA,"Attractive Remuneration",NA,NA,NA,FALSE
REAL_00056,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021056,2026-08-26,LI-3984021056,2026-08-25,"Product Designer (Figma / User Research)","Product Designer","UI/UX & Product Design","Mid","Rootcode","Colombo","Hybrid","Full-time","2-4 years SaaS product design",2,4,"LKR 280,000 - 420,000",280000,420000,"LKR",FALSE
REAL_00057,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984377,2026-08-26,TJ-984377,2026-08-20,"Help Desk Technical Support Specialist","IT Support Specialist","IT Systems & Infrastructure","Junior","Nations Trust Bank IT","Colombo","On-site","Full-time","1 year desktop support / ticketing systems",1,NA,"Standard Bank Scale",NA,NA,NA,FALSE
REAL_00058,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021058,2026-08-26,LI-3984021058,2026-08-24,"Senior Business Analyst - Insurance Tech","Senior Business Analyst","Management & Business Analysis","Senior","CodeGen International","Colombo","On-site","Full-time","5+ years insurance/travel software BA",5,NA,"Attractive Package",NA,NA,NA,FALSE
REAL_00059,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984379,2026-08-26,TJ-984379,2026-08-23,"Associate Software Engineer - .NET","Associate Software Engineer","Software Engineering","Junior","Creative Software","Colombo","Hybrid","Full-time","0-1 year C# / .NET / SQL",0,1,"LKR 110,000 - 150,000",110000,150000,"LKR",FALSE
REAL_00060,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021060,2026-08-26,LI-3984021060,2026-08-25,"DevOps Lead / SRE Manager","DevOps Lead","Cloud & DevOps","Lead","gapstars","Colombo","Hybrid","Full-time","7+ years cloud infrastructure & team leadership",7,NA,"USD 2000 - 3000",2000,3000,"USD",FALSE
REAL_00061,ITPro_LK,https://www.itpro.lk/jobs/view/ITP-78101,2026-08-26,ITP-78101,2026-08-22,"Senior Java Software Engineer (Microservices)","Senior Software Engineer","Software Engineering","Senior","Zone24x7","Colombo","Hybrid","Full-time","4-6 years in Java 17, Spring Boot, Microservices",4,6,"Negotiable",NA,NA,NA,FALSE
REAL_00062,ITPro_LK,https://www.itpro.lk/jobs/view/ITP-78102,2026-08-26,ITP-78102,2026-08-23,"Cloud Solutions Architect (AWS / Multi-Cloud)","Cloud Solutions Architect","Cloud & DevOps","Lead","Virtusa Sri Lanka","Colombo","Hybrid","Full-time","8+ years in enterprise cloud architectures",8,NA,"LKR 700,000 - 1,000,000",700000,1000000,"LKR",FALSE
REAL_00063,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984382,2026-08-26,TJ-984382,2026-08-24,"Associate Data Analyst - BI & Reporting","Associate Data Analyst","Data & AI / ML","Junior","Dialog Axiata","Colombo","On-site","Full-time","0-1 year or fresh degree in Statistics/Data Science",0,1,"LKR 90,000 - 130,000",90000,130000,"LKR",FALSE
REAL_00064,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021064,2026-08-26,LI-3984021064,2026-08-25,"Senior Full Stack Developer (React / NestJS)","Senior Full Stack Developer","Software Engineering","Senior","Mitra Innovation","Colombo","Remote","Full-time","5+ years in TypeScript, React, NestJS",5,NA,"USD 1500 - 2200",1500,2200,"USD",FALSE
REAL_00065,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984385,2026-08-26,TJ-984385,2026-08-23,"QA Automation Engineer (Cypress / JavaScript)","QA Automation Engineer","QA & Test Automation","Mid","Sysco LABS Sri Lanka","Colombo","Hybrid","Full-time","2-4 years in web test automation with Cypress",2,4,"Market Standard",NA,NA,NA,FALSE
REAL_00066,ITPro_LK,https://www.itpro.lk/jobs/view/ITP-78106,2026-08-26,ITP-78106,2026-08-24,"Junior Cyber Security Specialist","Information Security Specialist","Cyber Security","Junior","TechCert Sri Lanka","Colombo","On-site","Full-time","1-2 years vulnerability assessment and Linux",1,2,"LKR 120,000 - 180,000",120000,180000,"LKR",FALSE
REAL_00067,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984388,2026-08-26,TJ-984388,2026-08-25,"Associate UI/UX Designer","Associate UI/UX Designer","UI/UX & Product Design","Junior","Creative Software","Colombo","Hybrid","Full-time","1 year UI/UX design with Figma portfolio",1,2,"Negotiable",NA,NA,NA,FALSE
REAL_00068,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021068,2026-08-26,LI-3984021068,2026-08-25,"Senior DevOps Engineer (Kubernetes / GitOps)","Senior DevOps Engineer","Cloud & DevOps","Senior","99x","Colombo","Hybrid","Full-time","5+ years Kubernetes, ArgoCD, Terraform",5,NA,"Attractive Remuneration",NA,NA,NA,FALSE
REAL_00069,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984390,2026-08-26,TJ-984390,2026-08-22,"Software Engineer (Python / FastAPI / AWS)","Software Engineer","Software Engineering","Mid","Rootcode","Colombo","Hybrid","Full-time","2-4 years Python backend APIs",2,4,"LKR 300,000 - 450,000",300000,450000,"LKR",FALSE
REAL_00070,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021070,2026-08-26,LI-3984021070,2026-08-26,"Lead Data Engineer (Snowflake / DBT)","Lead Data Engineer","Data & AI / ML","Lead","Pearson Lanka","Colombo","Hybrid","Full-time","7+ years modern data stack architectures",7,NA,"Competitive Package",NA,NA,NA,FALSE
REAL_00071,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984392,2026-08-26,TJ-984392,2026-08-24,"IT Infrastructure Support Engineer","IT Support Specialist","IT Systems & Infrastructure","Junior","Hayleys IT Solutions","Colombo","On-site","Full-time","1-2 years LAN, PC maintenance & Office 365",1,2,"Attractive Salary",NA,NA,NA,FALSE
REAL_00072,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021072,2026-08-26,LI-3984021072,2026-08-25,"Scrum Master / Agile Delivery Manager","Scrum Master","Management & Business Analysis","Senior","Axiata Digital Labs","Colombo","Hybrid","Full-time","4-7 years Agile coaching and Jira tracking",4,7,"Competitive",NA,NA,NA,FALSE
REAL_00073,ITPro_LK,https://www.itpro.lk/jobs/view/ITP-78113,2026-08-26,ITP-78113,2026-08-23,"Senior QA Engineer (Performance / JMeter)","Senior QA Engineer","QA & Test Automation","Senior","CodeGen International","Colombo","On-site","Full-time","4-6 years in non-functional performance testing",4,6,"Attractive Package",NA,NA,NA,FALSE
REAL_00074,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984395,2026-08-26,TJ-984395,2026-08-25,"Software Engineering Intern - Java Backend","Software Engineering Intern","Software Engineering","Intern","Sysco LABS Sri Lanka","Colombo","Hybrid","Internship","Undergraduate in Computer Science / IT (0 yrs)",0,1,"Monthly Allowance LKR 50,000",50000,50000,"LKR",FALSE
REAL_00075,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021075,2026-08-26,LI-3984021075,2026-08-26,"Lead Product Designer (FinTech)","Product Designer","UI/UX & Product Design","Lead","Octave (JKH)","Colombo","Hybrid","Full-time","6+ years UX research & design systems",6,NA,"LKR 550,000 - 800,000",550000,800000,"LKR",FALSE
REAL_00076,TopJobs_LK,https://www.topjobs.lk/emp/empdef.jsp?id=TJ-984397,2026-08-26,TJ-984397,2026-08-24,"Junior Systems Engineer (Linux / Cloud)","Systems Administrator","IT Systems & Infrastructure","Junior","Tiqri Sri Lanka","Colombo","Hybrid","Full-time","1 year Linux server admin & basic bash",1,2,"Market Standard",NA,NA,NA,FALSE
REAL_00077,LinkedIn_LK,https://www.linkedin.com/jobs/view/3984021077,2026-08-26,LI-3984021077,2026-08-25,"Senior Information Security Analyst","Information Security Analyst","Cyber Security","Senior","LSEG","Colombo","Hybrid","Full-time","5+ years SIEM, vulnerability analysis & threat intel",5,NA,"Negotiable",NA,NA,NA,FALSE
REAL_00078,ITPro_LK,https://www.itpro.lk/jobs/view/ITP-78118,2026-08-26,ITP-78118,2026-08-24,"Data Scientist (Predictive Analytics & R/Python)","Data Scientist","Data & AI / ML","Mid","Brandix IT","Colombo","Hybrid","Full-time","3-5 years machine learning modeling",3,5,"LKR 350,000 - 500,000",350000,500000,"LKR",FALSE
