"job_id","source","source_url","collection_date","source_job_id","date_posted","original_title","job_title","career_category","seniority_level","company","location","work_mode","employment_type","original_experience","experience_min","experience_max","original_salary","salary_min","salary_max","currency","is_synthetic","posting_year","posting_month","posting_quarter","posting_year_quarter","posting_year_month","is_entry_level","experience_band","salary_disclosed","salary_midpoint","salary_band_lkr","salary_band_usd","skill_count","skill_names_concat","has_prog_lang","has_cloud_devops","has_framework","has_database"
"SYN_00011","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2019-05-27","Associate QA","Associate QA","QA & Test Automation","Junior","Dialog Axiata","Battaramulla","Hybrid","Full-time","1-2 years relevant experience",1,2,"Best in Industry",NA,NA,NA,TRUE,2019,5,"Q2","2019-Q2","2019-05",TRUE,"0-1 Years (Entry/Junior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",5,"Java; Manual Testing; Cypress; JMeter; Selenium",TRUE,FALSE,FALSE,FALSE
"SYN_00012","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2024-08-30","SE","Software Engineer","Software Engineering","Mid","Rootcode","Galle","Hybrid","Full-time","Minimum 3+ years experience",3,6,"Market Competitive",NA,NA,NA,TRUE,2024,8,"Q3","2024-Q3","2024-08",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"Node.js; TypeScript; React; Spring Boot",TRUE,FALSE,TRUE,FALSE
"SYN_00013","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2026-06-02","Associate Business Analyst","Associate Business Analyst","Management & Business Analysis","Junior","Brandix IT","Colombo","On-site","Full-time","1-2 years relevant experience",1,2,"Negotiable",NA,NA,NA,TRUE,2026,6,"Q2","2026-Q2","2026-06",TRUE,"0-1 Years (Entry/Junior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"JIRA; Business Analysis; Agile; SQL",FALSE,FALSE,FALSE,TRUE
"SYN_00014","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2017-10-17","Frontend Developer","Frontend Developer","Software Engineering","Mid","Axiata Digital Labs","Colombo","Remote","Full-time","Minimum 3+ years experience",3,5,"Attractive Remuneration",NA,NA,NA,TRUE,2017,10,"Q4","2017-Q4","2017-10",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",5,"Spring Boot; Docker; React; .NET; Node.js",FALSE,TRUE,TRUE,FALSE
"SYN_00015","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2021-02-18","Backend Engineer","Backend Engineer","Software Engineering","Mid","Zone24x7","Nawala","On-site","Full-time","Minimum 3+ years experience",3,6,"LKR 3e+05 - 390,000",3e+05,390000,"LKR",TRUE,2021,2,"Q1","2021-Q1","2021-02",FALSE,"2-4 Years (Mid-Level)",TRUE,345000,"300k - 500k LKR","Undisclosed / Non-USD",5,"MySQL; TypeScript; Spring Boot; Python; Java",TRUE,FALSE,TRUE,TRUE
"SYN_00016","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2023-02-25","Senior Software Engineer","Senior Software Engineer","Software Engineering","Senior","Sampath Bank IT","Battaramulla","On-site","Full-time","6 to 10 years commercial experience",6,10,"LKR 5e+05 - 650,000",5e+05,650000,"LKR",TRUE,2023,2,"Q1","2023-Q1","2023-02",FALSE,"5-7 Years (Senior)",TRUE,575000,"500k - 750k LKR","Undisclosed / Non-USD",5,"Java; Spring Boot; Python; REST API; TypeScript",TRUE,FALSE,TRUE,FALSE
"SYN_00017","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2016-11-21","UI/UX Designer","UI/UX Designer","UI/UX & Product Design","Mid","Tiqri Sri Lanka","Colombo","Remote","Full-time","Minimum 2+ years experience",2,4,"Market Competitive",NA,NA,NA,TRUE,2016,11,"Q4","2016-Q4","2016-11",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"Design Systems; Figma; Wireframes; UX Research",FALSE,FALSE,FALSE,FALSE
"SYN_00018","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2019-04-01","Principal / Lead Software Developer","Principal / Lead Software Developer","Software Engineering","Lead","Sysco LABS Sri Lanka","Colombo","Hybrid","Full-time","8+ years leadership experience",8,NA,"LKR 1,050,000 - 1,312,500",1050000,1312500,"LKR",TRUE,2019,4,"Q2","2019-Q2","2019-04",FALSE,"8+ Years (Lead/Principal)",TRUE,1181250,"750k+ LKR","Undisclosed / Non-USD",5,"PostgreSQL; React; Python; Node.js; TypeScript",TRUE,FALSE,TRUE,TRUE
"SYN_00019","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2024-01-27","Senior Frontend Developer","Senior Frontend Developer","Software Engineering","Senior","gapstars","Colombo","Hybrid","Full-time","5 to 9 years commercial experience",5,9,"Best in Industry",NA,NA,NA,TRUE,2024,1,"Q1","2024-Q1","2024-01",FALSE,"5-7 Years (Senior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",3,"Node.js; TypeScript; React",TRUE,FALSE,TRUE,FALSE
"SYN_00020","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2026-07-23","Data Engineer","Data Engineer","Data & AI / ML","Mid","WSO2","Battaramulla","On-site","Full-time","Minimum 2+ years experience",2,5,"LKR 220,000 - 319,000",220000,319000,"LKR",TRUE,2026,7,"Q3","2026-Q3","2026-07",FALSE,"2-4 Years (Mid-Level)",TRUE,269500,"150k - 300k LKR","Undisclosed / Non-USD",5,"SQL; PyTorch; Python; Power BI; TensorFlow",TRUE,FALSE,TRUE,TRUE
"SYN_00021","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2020-09-11","Data Engineer","Data Engineer","Data & AI / ML","Mid","Surge Global","Remote","On-site","Full-time","Minimum 3+ years experience",3,6,"Market Competitive",NA,NA,NA,TRUE,2020,9,"Q3","2020-Q3","2020-09",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",6,"PyTorch; Power BI; SQL; Python; Pandas; PySpark",TRUE,FALSE,TRUE,TRUE
"SYN_00022","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2021-04-25","Sr. IT Support Officer","Senior IT Support Officer","IT Systems & Infrastructure","Senior","Creative Software","Colombo","Remote","Full-time","4 to 8 years commercial experience",4,8,"LKR 7e+05 - 910,000",7e+05,910000,"LKR",TRUE,2021,4,"Q2","2021-Q2","2021-04",FALSE,"2-4 Years (Mid-Level)",TRUE,805000,"750k+ LKR","Undisclosed / Non-USD",5,"Cisco; Windows Server; Linux; TCP/IP; Hardware Support",FALSE,FALSE,FALSE,FALSE
"SYN_00023","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2025-05-05","Software Developer","Software Developer","Software Engineering","Mid","CodeGen International","Colombo","Remote","Full-time","Minimum 2+ years experience",2,5,"Competitive Package",NA,NA,NA,TRUE,2025,5,"Q2","2025-Q2","2025-05",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"TypeScript; .NET; MySQL; Node.js",TRUE,FALSE,TRUE,TRUE
"SYN_00024","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2025-05-20","Senior Frontend Developer","Senior Frontend Developer","Software Engineering","Senior","Axiata Digital Labs","Galle","Hybrid","Full-time","6 to 10 years commercial experience",6,10,"Market Competitive",NA,NA,NA,TRUE,2025,5,"Q2","2025-Q2","2025-05",FALSE,"5-7 Years (Senior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",3,"React; C#; .NET",TRUE,FALSE,TRUE,FALSE
"SYN_00025","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2016-11-17","Associate QA Lead","Associate QA Lead","QA & Test Automation","Junior","Tiqri Sri Lanka","Galle","Hybrid","Full-time","0-1 years relevant experience",0,1,"Attractive Remuneration",NA,NA,NA,TRUE,2016,11,"Q4","2016-Q4","2016-11",TRUE,"0-1 Years (Entry/Junior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",5,"JIRA; Playwright; Cypress; Java; Manual Testing",TRUE,FALSE,FALSE,FALSE
"SYN_00026","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2026-07-21","Software Engineering Intern","Software Engineering Intern","Software Engineering","Intern","Creative Software","Nawala","Hybrid","Internship","0-1 year or Undergraduate",0,1,"Competitive Package",NA,NA,NA,TRUE,2026,7,"Q3","2026-Q3","2026-07",TRUE,"0-1 Years (Entry/Junior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"Node.js; REST API; MySQL; Java",TRUE,FALSE,TRUE,TRUE
"SYN_00027","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2016-03-23","Sr. SE","Senior Software Engineer","Software Engineering","Senior","Sysco LABS Sri Lanka","Battaramulla","Hybrid","Full-time","4 to 8 years commercial experience",4,8,"LKR 5e+05 - 650,000",5e+05,650000,"LKR",TRUE,2016,3,"Q1","2016-Q1","2016-03",FALSE,"2-4 Years (Mid-Level)",TRUE,575000,"500k - 750k LKR","Undisclosed / Non-USD",4,"Node.js; MySQL; Python; Spring Boot",TRUE,FALSE,TRUE,TRUE
"SYN_00028","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2026-03-28","Full Stack Dev","Full Stack Developer","Software Engineering","Junior","Creative Software","Colombo","Hybrid","Full-time","1-2 years relevant experience",1,2,"LKR 110,000 - 154,000",110000,154000,"LKR",TRUE,2026,3,"Q1","2026-Q1","2026-03",TRUE,"0-1 Years (Entry/Junior)",TRUE,132000,"< 150k LKR","Undisclosed / Non-USD",5,"Java; C#; React; Python; Docker",TRUE,TRUE,TRUE,FALSE
"SYN_00029","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2026-05-27","DevOps Engineer","DevOps Engineer","Cloud & DevOps","Mid","Sysco LABS Sri Lanka","Colombo","Hybrid","Full-time","Minimum 3+ years experience",3,5,"Negotiable",NA,NA,NA,TRUE,2026,5,"Q2","2026-Q2","2026-05",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"Terraform; Docker; Azure; AWS",FALSE,TRUE,FALSE,FALSE
"SYN_00030","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2017-09-30","Lead Senior QA Engineer","Lead Senior QA Engineer","QA & Test Automation","Lead","Sysco LABS Sri Lanka","Colombo","Hybrid","Full-time","8+ years leadership experience",8,NA,"Best in Industry",NA,NA,NA,TRUE,2017,9,"Q3","2017-Q3","2017-09",FALSE,"8+ Years (Lead/Principal)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"JMeter; Postman; Playwright; Selenium",FALSE,FALSE,FALSE,FALSE
"SYN_00031","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2026-08-14","QA / Tester","QA Engineer","QA & Test Automation","Mid","Dialog Axiata","Colombo","Hybrid","Full-time","Minimum 3+ years experience",3,6,"Market Competitive",NA,NA,NA,TRUE,2026,8,"Q3","2026-Q3","2026-08",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",5,"Selenium; Cypress; Java; Playwright; JIRA",TRUE,FALSE,FALSE,FALSE
"SYN_00032","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2016-09-29","Frontend Developer","Frontend Developer","Software Engineering","Mid","Creative Software","Colombo","Hybrid","Full-time","Minimum 3+ years experience",3,6,"Market Competitive",NA,NA,NA,TRUE,2016,9,"Q3","2016-Q3","2016-09",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",5,"Java; Docker; REST API; MySQL; .NET",TRUE,TRUE,TRUE,TRUE
"SYN_00033","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2019-12-31","Associate Quality Assurance Analyst","Associate Quality Assurance Analyst","QA & Test Automation","Junior","hSenid Mobile Solutions","Colombo","Hybrid","Full-time","1-2 years relevant experience",1,2,"LKR 170,000 - 246,500",170000,246500,"LKR",TRUE,2019,12,"Q4","2019-Q4","2019-12",TRUE,"0-1 Years (Entry/Junior)",TRUE,208250,"150k - 300k LKR","Undisclosed / Non-USD",3,"Manual Testing; Cypress; Selenium",FALSE,FALSE,FALSE,FALSE
"SYN_00034","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2021-09-25","Senior QA Engineer","Senior QA Engineer","QA & Test Automation","Mid","DirectFN","Kandy","On-site","Full-time","Minimum 2+ years experience",2,5,"LKR 320,000 - 432,000",320000,432000,"LKR",TRUE,2021,9,"Q3","2021-Q3","2021-09",FALSE,"2-4 Years (Mid-Level)",TRUE,376000,"300k - 500k LKR","Undisclosed / Non-USD",4,"JIRA; Selenium; Cypress; Manual Testing",FALSE,FALSE,FALSE,FALSE
"SYN_00035","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2016-06-14","Cyber Security Intern - Trainee / Intern","Cyber Security Intern - Trainee / Intern","Cyber Security","Intern","DirectFN","Remote","Hybrid","Internship","0-1 year or Undergraduate",0,1,"Best in Industry",NA,NA,NA,TRUE,2016,6,"Q2","2016-Q2","2016-06",TRUE,"0-1 Years (Entry/Junior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",3,"Firewall Configuration; Vulnerability Assessment; Splunk",FALSE,FALSE,FALSE,FALSE
"SYN_00036","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2021-08-12","Software Engineer","Software Engineer","Software Engineering","Mid","Dialog Axiata","Nawala","Hybrid","Full-time","Minimum 3+ years experience",3,6,"Best in Industry",NA,NA,NA,TRUE,2021,8,"Q3","2021-Q3","2021-08",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",6,"REST API; PostgreSQL; .NET; Python; Docker; Spring Boot",TRUE,TRUE,TRUE,TRUE
"SYN_00037","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2025-09-29","Data Engineer","Data Engineer","Data & AI / ML","Mid","Calcey Technologies","Colombo","On-site","Full-time","Minimum 3+ years experience",3,6,"LKR 240,000 - 348,000",240000,348000,"LKR",TRUE,2025,9,"Q3","2025-Q3","2025-09",FALSE,"2-4 Years (Mid-Level)",TRUE,294000,"150k - 300k LKR","Undisclosed / Non-USD",5,"SQL; Python; PyTorch; Power BI; Pandas",TRUE,FALSE,TRUE,TRUE
"SYN_00038","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2016-08-14","Quality Assurance Analyst","Quality Assurance Analyst","QA & Test Automation","Mid","Pearson Lanka","Colombo","Hybrid","Full-time","Minimum 2+ years experience",2,4,"Best in Industry",NA,NA,NA,TRUE,2016,8,"Q3","2016-Q3","2016-08",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",5,"Postman; Playwright; JMeter; Java; Selenium",TRUE,FALSE,FALSE,FALSE
"SYN_00039","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2017-09-15","Senior Technical Project Manager","Senior Technical Project Manager","Management & Business Analysis","Senior","Mitra Innovation","Colombo","Hybrid","Full-time","5 to 7 years commercial experience",5,7,"USD 1846 - 2308 (Pegged)",1846,2308,"USD",TRUE,2017,9,"Q3","2017-Q3","2017-09",FALSE,"5-7 Years (Senior)",TRUE,2077,"Undisclosed / Non-LKR","$1,800 - $2,500 USD",5,"SQL; Requirements Analysis; Sprint Planning; Agile; JIRA",FALSE,FALSE,FALSE,TRUE
"SYN_00040","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2019-07-14","Associate Associate QA Engineer","Associate Associate QA Engineer","QA & Test Automation","Junior","Axiata Digital Labs","Remote","Remote","Full-time","1-3 years relevant experience",1,3,"USD 764 - 993 (Pegged)",764,993,"USD",TRUE,2019,7,"Q3","2019-Q3","2019-07",TRUE,"0-1 Years (Entry/Junior)",TRUE,878.5,"Undisclosed / Non-LKR","< $1,000 USD",4,"Java; Cypress; JIRA; Selenium",TRUE,FALSE,FALSE,FALSE
"SYN_00041","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2022-12-08","QA Automation Engineer","QA Automation Engineer","QA & Test Automation","Mid","Creative Software","Galle","Hybrid","Full-time","Minimum 3+ years experience",3,6,"Best in Industry",NA,NA,NA,TRUE,2022,12,"Q4","2022-Q4","2022-12",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",6,"Java; JMeter; Selenium; Postman; Manual Testing; Playwright",TRUE,FALSE,FALSE,FALSE
"SYN_00042","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2016-06-10","Senior Frontend Developer","Senior Frontend Developer","Software Engineering","Senior","Sysco LABS Sri Lanka","Remote","Hybrid","Full-time","6 to 10 years commercial experience",6,10,"Attractive Remuneration",NA,NA,NA,TRUE,2016,6,"Q2","2016-Q2","2016-06",FALSE,"5-7 Years (Senior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"C#; MySQL; TypeScript; Node.js",TRUE,FALSE,TRUE,TRUE
"SYN_00043","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2019-11-16","Cloud Engineer","Cloud Engineer","Cloud & DevOps","Mid","Virtusa Sri Lanka","Nawala","On-site","Full-time","Minimum 2+ years experience",2,5,"Competitive Package",NA,NA,NA,TRUE,2019,11,"Q4","2019-Q4","2019-11",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",3,"AWS; Azure; Kubernetes",FALSE,TRUE,FALSE,FALSE
"SYN_00044","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2025-04-18","Senior Tech Lead","Senior Tech Lead","Software Engineering","Senior","DirectFN","Colombo","Hybrid","Full-time","5 to 9 years commercial experience",5,9,"LKR 550,000 - 715,000",550000,715000,"LKR",TRUE,2025,4,"Q2","2025-Q2","2025-04",FALSE,"5-7 Years (Senior)",TRUE,632500,"500k - 750k LKR","Undisclosed / Non-USD",3,"PostgreSQL; TypeScript; .NET",TRUE,FALSE,TRUE,TRUE
"SYN_00045","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2018-08-07","Associate QA","Associate QA","QA & Test Automation","Junior","Axiata Digital Labs","Remote","Hybrid","Full-time","1-2 years relevant experience",1,2,"LKR 170,000 - 246,500",170000,246500,"LKR",TRUE,2018,8,"Q3","2018-Q3","2018-08",TRUE,"0-1 Years (Entry/Junior)",TRUE,208250,"150k - 300k LKR","Undisclosed / Non-USD",3,"Manual Testing; Cypress; JIRA",FALSE,FALSE,FALSE,FALSE
"SYN_00046","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2024-10-08","Frontend Developer","Frontend Developer","Software Engineering","Mid","DirectFN","Battaramulla","Hybrid","Full-time","Minimum 2+ years experience",2,4,"Market Competitive",NA,NA,NA,TRUE,2024,10,"Q4","2024-Q4","2024-10",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",3,"Docker; REST API; Python",TRUE,TRUE,FALSE,FALSE
"SYN_00047","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2018-04-01","Sr. Software Eng","Senior Software Engineer","Software Engineering","Senior","WSO2","Battaramulla","Hybrid","Full-time","6 to 9 years commercial experience",6,9,"Competitive Package",NA,NA,NA,TRUE,2018,4,"Q2","2018-Q2","2018-04",FALSE,"5-7 Years (Senior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",5,"Node.js; Docker; Java; MySQL; TypeScript",TRUE,TRUE,TRUE,TRUE
"SYN_00048","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2024-04-01","Junior Data Analyst","Junior Data Analyst","Data & AI / ML","Mid","Creative Software","Battaramulla","Remote","Full-time","Minimum 2+ years experience",2,5,"LKR 360,000 - 504,000",360000,504000,"LKR",TRUE,2024,4,"Q2","2024-Q2","2024-04",FALSE,"2-4 Years (Mid-Level)",TRUE,432000,"300k - 500k LKR","Undisclosed / Non-USD",4,"PyTorch; Python; PySpark; Power BI",TRUE,FALSE,TRUE,FALSE
"SYN_00049","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2025-10-23","Associate Senior Software Engineer","Associate Senior Software Engineer","Software Engineering","Junior","99x","Colombo","Hybrid","Full-time","1-3 years relevant experience",1,3,"Negotiable",NA,NA,NA,TRUE,2025,10,"Q4","2025-Q4","2025-10",TRUE,"0-1 Years (Entry/Junior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"Java; MySQL; Docker; .NET",TRUE,TRUE,TRUE,TRUE
"SYN_00050","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2021-05-16","Associate Full Stack Developer","Associate Full Stack Developer","Software Engineering","Junior","Zone24x7","Battaramulla","Hybrid","Full-time","0-1 years relevant experience",0,1,"Competitive Package",NA,NA,NA,TRUE,2021,5,"Q2","2021-Q2","2021-05",TRUE,"0-1 Years (Entry/Junior)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",5,"Node.js; C#; TypeScript; MySQL; React",TRUE,FALSE,TRUE,TRUE
"SYN_00051","Synthetic_Generator_v1",NA,"2026-08-26",NA,"2022-01-05","Senior Cloud Engineer","Senior Cloud Engineer","Cloud & DevOps","Mid","Axiata Digital Labs","Galle","Remote","Full-time","Minimum 2+ years experience",2,5,"Best in Industry",NA,NA,NA,TRUE,2022,1,"Q1","2022-Q1","2022-01",FALSE,"2-4 Years (Mid-Level)",FALSE,NA,"Undisclosed / Non-LKR","Undisclosed / Non-USD",4,"Linux; CI/CD; Azure; Terraform",FALSE,TRUE,FALSE,FALSE
